№,Описание проверки,"Яндекс.Браузер
1920x1080
","Chrome
1280х720
","Баг-Репорты
"
85,"Если обновить страницу, происходит переход на форму «для кого самокат». Введенные данные пропадают",PASSED,PASSED,
Поле ввода номера заказа,,,,
,"Поле ввода ""Номер заказа"" не имеет лишних элементов",FALLED,FALLED,https://tracker.yandex.ru/BUG-1112530
90,"Поле ввода ""Номер заказа"" выровнено по горизонтали по правой стороне и расположено в правой верхней стороне экрана",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111722
91,"Уже введенные в поле ""Номер заказа"" данные можно редактировать",PASSED,PASSED,
92,"Если написать номер и убрать фокус, рамка и текст будут черными",PASSED,PASSED,
93,"Рамка формы серая, в незаполненном сост, при наведение курсор меняется на руку",PASSED,PASSED,
94,"Текст плейсхолдера поля ""Номер заказа"": Номер заказа",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111714
95,"Плейсхолдер поля ""Номер заказа"" появляется, если очистить поле или убрать из пустого поля фокус",PASSED,PASSED,
96,"Текст в плейсхолдере поля ""Номер заказа"" исчезает, если кликнуть по полю или начать вводить данные",PASSED,PASSED,
Информация о заказе,,,,
97,"Если ввести в поле ""Номер заказа"" корректный номер заказа и нажать Enter, то появится экран с информацией о заказе",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111696
98,"Если ввести в поле ""Номер заказа"" некорректный номер заказа и нажать Enter, то появится сообщение об ошибке: «Такого заказа нет. Точно верный номер?»",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111696
99,"В информации о заказе, если текст не умещается в одной строке, он переносится на вторую. ",PASSED,PASSED,
100,"В информации о заказе текст соответственно : Имя, Фамилия, Адрес, Станция метро, Телефон, Когда привезем, Срок аренды, Цвет, Комментарий ",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111703
101,Текст названия информации серого цвета,PASSED,PASSED,
102,Текст информации черного цвета,PASSED,PASSED,
103,Имя в информации соответствует с инфой в заказе,PASSED,PASSED,
104,Фамилия в информации соответствует с инф-й в заказе,PASSED,PASSED,
105,Телефон в информации соответствует с инф-й в заказе,PASSED,PASSED,
106,Дата доставки в информации соответствует с инфой в заказе,FALLED,FALLED,https://tracker.yandex.ru/BUG-1100145
107,Информация о станции метро присутствует и соответствует заказу,FALLED,FALLED,https://tracker.yandex.ru/BUG-1100159
108,Срок аренды в информации соответствует с инфой в заказе,PASSED,PASSED,
109,«Цвет самоката» в информации соответствует с инфой в заказе,PASSED,PASSED,
110,Комментарии в информации соответствует с инфой в заказе,PASSED,PASSED,
Некорректный заказ,,,,
111,"Если ввести в поле ""Номер заказа"" некорректный номер заказа и нажать Enter, то появится сообщение об ошибке: «Такого заказа нет. Точно верный номер?»",PASSED,PASSED,
112,"На экране сообщения об ошибке присутствует изображение самоката, два колеса и две наклонные черные линии",FALLED,FALLED,https://tracker.yandex.ru/BUG-1111687
Цепочка статусов заказа,,,,
113,На экране отображена цепочка статусов заказа,PASSED,PASSED,
114,"Блок со статусами заказа размещен в правой стороне экрана ""Статус заказа"", на одном уровне по горизонтали с блоком информации о заказе",FAILED,PASSED,https://tracker.yandex.ru/BUG-1111681
115,На экране статуса заказа 4 статуса,PASSED,PASSED,
116,"Текущий статус выделен черным, остальные статусы серого цвета",PASSED,PASSED,
117,"Текст первого статуса:   Самокат на складе
                                         Скоро курьер заберет его",PASSED,PASSED,
118,"Текст второго статуса:   Курьер N едет к вам
                                         Номер для связи: 0101",PASSED,PASSED,
119,"Текст третьего  статуса:  Курьер на месте
                                          Заберите самокат и оплатите аренду",PASSED,PASSED,
120,"Текст четвертого статуса:  Ну всё, теперь кататься
                                             Пока не закончится аренда",PASSED,PASSED,
121,"Если статус пройден, цифра перед ним сменяется на галочку",FAILED,FAILED,https://tracker.yandex.ru/BUG-1111810
122,Активным может быть только один статус,PASSED,PASSED,
"Статус ""Самокат на складе""",,,,
123,"Становится активным, когда пользователь сделал заказ.",PASSED,PASSED,
124,В активном состоянии статус черный ,PASSED,PASSED,
125,"В пассивном состоянии статус серый, цифра сменяется на галочку",PASSED,PASSED,
126,"Название статуса ""Самокат на складке"" надписть ""Скоро курьер заберет его""",PASSED,PASSED,
"Статус ""Курьер едет к вам""",,,,
127,"Становится активным, когда курьер подтвердил заказ.",PASSED,PASSED,
128,В активном состоянии статус черный ,PASSED,PASSED,
129,В пассивном состоянии статус серый,PASSED,PASSED,
130,"После прохождения статуса, статус становится серый, цифра сменяется на галочку",PASSED,PASSED,
131,"Если имя курьера слишком длинное и подпись не умещается в одну строчку, текст переносится на вторую строчку",FALLED,FALLED,https://tracker.yandex.ru/BUG-1100225
132,"Когда статус активен, в подписи появляется имя курьера: «Курьер N едет к вам»",PASSED,PASSED,
"Статус ""Курьер на месте""",,,,
133,"Становится активным, когда курьер нажал кнопку «Завершить»",FALLED,FALLED,https://tracker.yandex.ru/BUG-1102829
134,В активном состоянии статус черный ,BLOCKED ,BLOCKED ,https://tracker.yandex.ru/BUG-1102829
135,В пассивном состоянии статус серый,PASSED,PASSED,
136,"После прохождения статуса, статус становится серый, цифра сменяется на галочку",PASSED,PASSED,
"Статус ""Ну все, теперь кататься""",,,,
137,"Становится активным, когда курьер подтвердил завершение заказа",PASSED,PASSED,
138,"Подпись статуса ""Время аренды кончилось"" : ""Скоро курьер заберет самокат""",PASSED,PASSED,
139,В активном состоянии статус черного цвета,PASSED,PASSED,
140,В пассивном состоянии статус серого цвета,PASSED,PASSED,
141,"В подписи к статусу ""Ну все, теперь кататься"" указана дата окончания времени аренды",FALLED,FALLED,https://tracker.yandex.ru/BUG-1110834
"Статус ""Время аренды кончилось"" допил фронта",,,,
142,"Становится активным вместо 4-ого статуса, когда время аренды заканчивается",PASSED,PASSED,
143,В активном состоянии статус черный ,PASSED,PASSED,
144,"Новый статус появляется под номером 5, после 4-ого статуса",PASSED,PASSED,
145,В активном состоянии статус черный ,PASSED,PASSED,
146,"Подпись статуса ""Время аренды кончилось"" - Скоро курьер заберет самокат",FALLED,FALLED,https://tracker.yandex.ru/BUG-1100311
Просроченный заказ,,,,
147,Становится активным вместо 2-ого статуса,PASSED,PASSED,
148,Просроченый статус и подпись подсвечиваются красным.,PASSED,PASSED,
149,"Если пользователю доставили просроченный заказ, отсчёт времени начинается с момента получения заказа.",PASSED,PASSED,
150,"Если статус пройден, цифра сменяется на галочку, цвет статуса серый, статус меняется на 2-ой",PASSED,PASSED,
151,"Подпись статуса ""Курьер задерживается"" -  ""Не успеем привезти самокат вовремя. Чтобы уточнить статус заказа, позвоните в поддержку: 0101""",PASSED,PASSED,
"Кнопка ""Отменить""",,,,
152,Кнопка соответствует макету по расположению и дизайну,PASSED,PASSED,
153,"При наведении на кнопку, она посветлеет, стрелка курсора поменяется на руку",PASSED,PASSED,
154,"Если нажать кнопку до того как курьер возьмет заказ, откроется форма подтверждения отмены",PASSED,PASSED,
155,"Когда заказ уже у курьера, кнопка «Отменить заказ» будет некликабельной.",PASSED,PASSED,
156,"При наведении на кнопку ""отменить"", она потемнеет и стрелка курсора поменяется на руку",PASSED,PASSED,
157,"Если кликнуть по кнопке отменить, появится всплывающее окно с текстом и кнопкой «Хорошо»",PASSED,PASSED,
158,Кнопка «Хорошо» ведёт на главную страницу лендинга.,PASSED,PASSED,
159,Кнопка черная с белыми буквами,PASSED,PASSED,
160,"При наведении на кнопку, она посветлеет и стрелка курсора поменяется на руку",PASSED,PASSED,
161,"Если кликнуть на кнопку «Назад», пользователь вернётся на страницу статуса заказа.",PASSED,PASSED,
162,Кнопка черная с белыми буквами,PASSED,PASSED,
163,"При наведении на кнопку, она посветлеет и стрелка курсора поменяется на руку",PASSED,PASSED,
164,Отмененный заказ удаляется из системы. ,FALLED,FALLED,https://tracker.yandex.ru/BUG-1102554
165,Пользователь не может посмотреть отмененный заказ.,FALLED,FALLED,https://tracker.yandex.ru/BUG-1102534
